boro,Name_Proper,maintenance_funding,private_funding,ACREAGE
Queens,Father Reilly Square,260,0,0.03
Bronx,Featherbed Triangle,4601,0,0.17
Bronx,Featherbenches,4078,0,0.21
Queens,Federalist Triangle,624,0,0.06
Brooklyn,Fermi Playground,29951,0,1.06
Bronx,Ferris Family Burial Plot,182,0,0.13
Bronx,Ferry Point Park,91794,0,413.8
Brooklyn,Fidelity Triangle,585,0,0.01
Brooklyn,Fidler-Wyckoff House Park,5682,0,1.13
Bronx,Field Of Dreams Park,6018,0,0.17
Manhattan,Fiorello La Guardia Park,4097,0,0.55
Manhattan,Firemen's Memorial Garden,5,0,0.17
Manhattan,First Park,7183,0,0.76
Brooklyn,First Quincy St Block Association,0,0,0.13
Manhattan,First Street Garden,122,0,0.06
Brooklyn,First Temple Of David,0,0,0.05
Brooklyn,Fish Playground,15360,0,1.04
